EnsemblID,baseMean,baseMean_GroupA,baseMean_GroupB,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000182903,450.6030804,623.7899566,277.4162042,-1.169637933,0.581088391,-2.01283996,0.044131469,0.99964765
ENSG00000183137,526.4549496,706.2308829,346.6790162,-1.026465507,0.498074065,-2.060869215,0.039315519,0.99964765
ENSG00000184182,268.3336506,365.2278278,171.4394734,-1.090509583,0.553747191,-1.969327521,0.048915493,0.99964765
ENSG00000184743,4296.604705,5878.875341,2714.334068,-1.114995537,0.510856842,-2.182598814,0.029065367,0.99964765
ENSG00000185129,2651.475378,3600.199451,1702.751305,-1.080200009,0.479740533,-2.251633821,0.024345422,0.99964765
ENSG00000186063,1820.78588,2797.431494,844.1402653,-1.728765965,0.659305794,-2.622100368,0.008738969,0.99964765
ENSG00000186185,2397.861023,3358.095252,1437.626795,-1.223933903,0.584798431,-2.092915847,0.036356667,0.99964765
ENSG00000187801,78.01020163,115.0729274,40.9474759,-1.493837372,0.736130008,-2.029311882,0.042426534,0.99964765
ENSG00000188549,3782.20788,5401.04468,2163.37108,-1.319856742,0.650421144,-2.029234064,0.042434456,0.99964765
ENSG00000196417,204.8057413,298.9436059,110.6678767,-1.434654042,0.578442617,-2.480201146,0.013130829,0.99964765
ENSG00000196922,814.1887579,1346.282216,282.0952996,-2.25415199,0.697340314,-3.232499177,0.001227125,0.99964765
ENSG00000197020,302.0071187,467.9680529,136.0461846,-1.783185639,0.670311072,-2.660235993,0.007808592,0.99964765
ENSG00000197061,203.7867382,288.1778023,119.395674,-1.271594413,0.638449377,-1.991691837,0.04640488,0.99964765
ENSG00000197451,11415.16609,15374.89896,7455.433219,-1.044192739,0.517076096,-2.019417931,0.043443799,0.99964765
ENSG00000198176,7162.941578,10432.99412,3892.889034,-1.422212664,0.513132413,-2.771628976,0.005577657,0.99964765
ENSG00000198258,1706.549984,2422.397748,990.7022209,-1.290112332,0.606492938,-2.127167937,0.033406132,0.99964765
ENSG00000198393,394.9821478,541.7572095,248.2070862,-1.126698862,0.553816715,-2.034425526,0.04190871,0.99964765
ENSG00000198538,323.3571591,453.598563,193.1157552,-1.232595564,0.620140231,-1.987607808,0.046855082,0.99964765
ENSG00000198677,3096.453262,4150.644084,2042.262441,-1.023227847,0.497007083,-2.058779206,0.039515395,0.99964765
ENSG00000198682,3007.52005,4148.409374,1866.630726,-1.152030717,0.526876273,-2.186529886,0.028776861,0.99964765
ENSG00000204604,354.1845238,534.9758454,173.3932022,-1.626088053,0.549053029,-2.961622954,0.003060223,0.99964765
ENSG00000219487,8.260179288,15.52500866,0.995349918,-3.930598753,1.938327989,-2.02782954,0.042577648,0.99964765
ENSG00000225383,77.95796356,126.4978528,29.41807429,-2.103159612,0.822948033,-2.555640853,0.010599245,0.99964765
ENSG00000226887,135.091932,232.188582,37.99528211,-2.608272214,0.94961973,-2.746649139,0.006020751,0.99964765
ENSG00000228477,4.595567108,9.191134217,0,-5.570063438,2.736722866,-2.035304161,0.041820278,0.99964765
ENSG00000230154,5.682523396,11.36504679,0,-5.874723682,2.569526853,-2.286305619,0.022236385,0.99964765
ENSG00000230699,4.81336973,9.62673946,0,-5.632215855,2.834591279,-1.986958719,0.046926972,0.99964765
ENSG00000231607,201.8501425,309.9132709,93.78701418,-1.722775495,0.697999376,-2.468161942,0.013580886,0.99964765
ENSG00000240747,47.55321375,75.61111149,19.49531602,-1.950142101,0.886845342,-2.198965264,0.027880392,0.99964765
ENSG00000242125,606.7162056,890.4635777,322.9688334,-1.463518944,0.738993892,-1.980420892,0.047656254,0.99964765
ENSG00000254004,471.3235317,689.3464942,253.3005693,-1.44496005,0.601603185,-2.401849069,0.016312437,0.99964765
ENSG00000254166,402.0376071,668.0905115,135.9847028,-2.297513506,0.760700736,-3.020259343,0.002525583,0.99964765
ENSG00000255717,2203.808374,2994.505629,1413.111118,-1.083527548,0.543649495,-1.993062734,0.046254578,0.99964765
ENSG00000257167,198.6438942,288.5736406,108.7141479,-1.407563348,0.63525681,-2.215739095,0.026709376,0.99964765
ENSG00000257219,36.26785109,59.77436856,12.76133361,-2.230995693,0.848369104,-2.629746512,0.008544856,0.99964765
ENSG00000257267,339.1169783,558.2608451,119.9731115,-2.219446513,0.726826961,-3.053610599,0.002261054,0.99964765
ENSG00000267480,13.05287298,21.89087925,4.2148667,-2.379833893,1.197151591,-1.987913569,0.04682125,0.99964765
ENSG00000268001,85.53552226,127.8686609,43.20238367,-1.56642398,0.63374909,-2.471678469,0.013448041,0.99964765
ENSG00000272979,12.84180514,24.68826036,0.995349918,-4.592930006,1.941364003,-2.365826295,0.017989883,0.99964765
ENSG00000275216,2376.273059,3542.079292,1210.466826,-1.548989346,0.785289755,-1.972506755,0.048551786,0.99964765
ENSG00000278705,8.8000887,16.48809397,1.112083431,-3.926967064,1.890350838,-2.077374731,0.037766987,0.99964765
ENSG00000279551,4.595567108,9.191134217,0,-5.570063438,2.736722866,-2.035304161,0.041820278,0.99964765
ENSG00000281398,640.9418334,914.557165,367.3265017,-1.315972622,0.64155395,-2.051226747,0.04024487,0.99964765
