EnsemblID,baseMean,baseMean_GroupA,baseMean_GroupB,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000223820,5.093483105,0,10.18696621,5.887296243,2.787475016,2.112053457,0.034681864,0.99964765
ENSG00000224897,46.25203816,16.61196495,75.89211138,2.184739158,0.941964613,2.319343134,0.020376438,0.99964765
ENSG00000230092,8.514804431,0.403609089,16.62599977,5.184322058,2.062138424,2.514051431,0.011935303,0.99964765
ENSG00000233871,39.63191701,12.46800116,66.79583287,2.438655199,0.959960382,2.540370671,0.011073504,0.99964765
ENSG00000235863,98.93237043,43.87774697,153.9869939,1.816658611,0.745462462,2.436955185,0.014811515,0.99964765
ENSG00000237595,12.86784253,2.701392643,23.03429243,3.075828556,1.33033018,2.312079063,0.020773327,0.99964765
ENSG00000241081,16.59041409,5.139045252,28.04178293,2.452623925,1.10749814,2.214562568,0.026790104,0.99964765
ENSG00000242258,49.30435274,6.597614475,92.01109102,3.785436444,1.784278072,2.121550728,0.033875484,0.99964765
ENSG00000247095,87.8627394,46.32728402,129.3981948,1.477907509,0.731263576,2.021032575,0.043276393,0.99964765
ENSG00000248409,7.11336632,0,14.22673264,6.369128867,2.576158308,2.472335977,0.01342333,0.99964765
ENSG00000250091,46.08609954,7.033219718,85.13897937,3.600259097,1.071376185,3.360406127,0.00077828,0.99964765
ENSG00000250282,11.61883705,1.490565377,21.74710873,3.913586513,1.487076612,2.631731602,0.008495094,0.99964765
ENSG00000250510,66.52925761,34.09514038,98.96337483,1.541255528,0.688766778,2.237703062,0.025240425,0.99964765
ENSG00000253395,16.46987789,5.278914308,27.66084148,2.403952632,1.110001779,2.165719621,0.030332619,0.99964765
ENSG00000261183,7.925542704,0.807218177,15.04386723,4.124256737,1.982053756,2.080799638,0.037452249,0.99964765
ENSG00000267060,69.30138578,26.62631542,111.9764561,2.070332718,0.994629052,2.081512412,0.037387029,0.99964765
ENSG00000267534,115.4394511,65.30102483,165.5778773,1.341936564,0.609169094,2.202896664,0.027602033,0.99964765
ENSG00000267750,50.92340883,18.27439553,83.57242213,2.200574708,0.937062382,2.348375893,0.018855482,0.99964765
ENSG00000272049,5.019745895,0,10.03949179,5.864228631,2.668843187,2.197292318,0.027999576,0.99964765
ENSG00000273301,192.6516849,77.43718,307.8661898,1.988235574,0.944790483,2.104419562,0.035341865,0.99964765
ENSG00000274173,5.752445409,0,11.50489082,6.062991479,3.0645567,1.978423658,0.047880933,0.99964765
ENSG00000277287,18.16236833,4.068087041,32.25664963,3.023902551,1.255883792,2.4077885,0.016049476,0.99964765
ENSG00000278727,16.66910951,4.331827075,29.00639194,2.76004397,1.128136215,2.44655205,0.014422997,0.99964765
ENSG00000278817,7.285987487,0.403609089,14.16836588,4.960963181,2.317902395,2.140281312,0.032332039,0.99964765
ENSG00000279103,4.595808146,0,9.191616292,5.738889896,2.847758715,2.015230386,0.043880515,0.99964765
ENSG00000279283,7.376016724,0,14.75203345,6.419648463,2.378968953,2.698500312,0.006965267,0.99964765
ENSG00000279407,92.59486152,32.88019947,152.3095236,2.204566979,1.117211161,1.973276903,0.048464023,0.99964765
ENSG00000284691,60.63626798,28.25674985,93.01578611,1.717883356,0.785549255,2.186856324,0.028753014,0.99964765
ENSG00000285210,5.5020504,0,11.0041008,5.99497615,2.940759002,2.038581246,0.041491839,0.99964765
